Cereal Name,Manufacturer,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFGp,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORBPG,DRBPG,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG
Klay Thompson,GS Warriors,23,81,81,2868,559,1259,0.444,223,535,0.417,336,724,0.464,0.533,147,185,0.795,38,211,249,181,74,37,135,234,1488,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
Stephen Curry,GS Warriors,25,78,78,2846,652,1383,0.471,261,615,0.424,391,768,0.509,0.566,308,348,0.885,46,288,334,666,128,14,294,194,1873,0.6,3.6,4.1,8.2,1.6,0.2,3.6,2.4,23.1
David Lee,GS Warriors,30,69,67,2288,513,981,0.523,0,1,0,513,980,0.523,0.523,231,296,0.78,182,461,643,147,48,26,152,206,1257,2.2,5.7,7.9,1.8,0.6,0.3,1.9,2.5,15.5
Harrison Barnes,GS Warriors,21,78,24,2204,271,679,0.399,66,190,0.347,205,489,0.419,0.448,130,181,0.718,66,245,311,116,65,20,84,158,738,0.8,3.0,3.8,1.4,0.8,0.2,1.0,2.0,9.1
Andre Iguodala,GS Warriors,30,63,63,2040,220,458,0.48,62,175,0.354,158,283,0.558,0.548,86,132,0.652,53,240,293,263,95,18,100,103,588,0.7,3.0,3.6,3.2,1.2,0.2,1.2,1.3,7.3
Draymond Green,GS Warriors,23,82,12,1797,187,459,0.407,55,165,0.333,132,294,0.449,0.467,82,123,0.667,86,323,409,152,102,72,91,231,511,1.1,4.0,5.0,1.9,1.3,0.9,1.1,2.9,6.3
Andrew Bogut,GS Warriors,29,67,67,1769,235,375,0.627,0,0,,235,375,0.627,0.627,22,64,0.344,182,489,671,112,47,121,97,210,492,2.2,6.0,8.3,1.4,0.6,1.5,1.2,2.6,6.1
Marreese Speights,GS Warriors,26,79,3,982,195,442,0.441,8,31,0.258,187,411,0.455,0.45,110,134,0.821,101,189,290,32,10,34,66,148,508,1.2,2.3,3.6,0.4,0.1,0.4,0.8,1.8,6.3
Jermaine O'Neal,GS Warriors,35,44,13,883,125,248,0.504,0,0,,125,248,0.504,0.504,99,132,0.75,85,157,242,25,14,40,52,102,349,1.0,1.9,3.0,0.3,0.2,0.5,0.6,1.3,4.3
Jordan Crawford,GS Warriors,25,42,0,661,139,333,0.417,40,128,0.313,99,205,0.483,0.477,36,43,0.837,10,53,63,57,13,2,50,44,354,0.1,0.7,0.8,0.7,0.2,0.0,0.6,0.5,4.4
Steve Blake,GS Warriors,33,28,1,607,45,120,0.375,27,79,0.342,18,41,0.439,0.488,5,8,0.625,5,51,56,102,20,6,31,36,122,0.1,0.6,0.7,1.3,0.2,0.1,0.4,0.4,1.5
Kent Bazemore,GS Warriors,24,44,0,268,36,97,0.371,10,39,0.256,26,58,0.448,0.423,19,36,0.528,5,35,40,20,12,6,28,42,101,0.1,0.4,0.5,0.2,0.1,0.1,0.3,0.5,1.2
Toney Douglas,GS Warriors,27,24,0,265,32,86,0.372,19,59,0.322,13,27,0.481,0.483,5,8,0.625,4,22,26,19,6,2,16,34,88,0.0,0.3,0.3,0.2,0.1,0.0,0.2,0.4,1.1
Nemanja Nedovic,GS Warriors,22,24,0,142,8,39,0.205,3,18,0.167,5,21,0.238,0.244,7,8,0.875,3,12,15,13,0,1,13,13,26,0.0,0.1,0.2,0.2,0.0,0.0,0.2,0.2,0.3
Hilton Armstrong,GS Warriors,29,15,1,97,9,19,0.474,0,0,,9,19,0.474,0.474,7,16,0.438,19,28,47,5,4,4,6,11,25,0.2,0.3,0.6,0.1,0.0,0.0,0.1,0.1,0.3
Ognjen Kuzmic,GS Warriors,23,21,0,92,5,13,0.385,0,0,,5,13,0.385,0.385,5,11,0.455,10,11,21,2,3,4,10,17,15,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.2,0.2
