Atlanta Hawks,#01244,#D2103,,
Boston Celtics,#05854,#EAEFE,#FFFFF,
Charlotte Bobcats,#F2653,#29588,,
Chicago Bulls,#D4001,#00000,#FFFFF,
Cleveland Cavaliers,#9F142,#00337,#B99D6,
Dallas Mavericks,#006AB,#F0F4F,,
Denver Nuggets,#4393D,#FBB52,,
Detroit Pistons,#ED174,#006BB,,
Golden State Warriors,#00294,#E75E2,#FFC33,
Houston Rockets,#CC000,#FFFFF,,
Indiana Pacers,#002E6,#FFC22,,
Los Angeles Clippers,#EE294,#146AA,#FFFFF,
Los Angeles Lakers,#4A258,#F5AF1,,
Memphis Grizzlies,#001B4,#85A2C,#FFFFF,
Miami Heat,#B6263,#1E334,#FF9F0,
Milwaukee Bucks,#00330,#C82A3,,
Minnesota Timberwolves,#01528,#00000,#EFEFE,
New Jersey Nets,#00225,#D32E4,#EFEFF,
New Orleans Hornets,#0095C,#1D106,#FEBB2,#FFFFF
New York Knicks,#2E66B,#FF5C2,,
Oklahoma City Thunder,#0075C,#E7442,#00255,
Orlando Magic,#077AB,#C5CED,#00000,
Philadelphia 76ers,#C5003,#00000,#C7974,
Phoenix Suns,#48286,#FF7A3,#FFBC1,
Portland Trail Blazers,#00000,#E1393,#B4BDC,
San Antonio Spurs,#00000,#BEC8C,#FFFFF,
Sacramento Kings,#74338,#DCE2E,#00000,
Toronto Raptors,#CD104,#ECEBE,#00000,
Utah Jazz,#001D4,#448CC,#48097,
Washington Wizards,#00487,#BC9B6,,
