TeamColor,TeamName,TeamWins,TeamLosses,Cereal Name,Manufacturer,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFGp,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORBPG,DRBPG,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG
#CC000,Houston Rockets,54,28,James Harden,Houston Rockets (54-28),25,73,73,2777,549,1205,0.456,177,483,0.366,372,722,0.515,0.529,576,665,0.866,61,283,344,446,115,29,265,177,1851,0.8,3.5,4.2,5.5,1.4,0.4,3.3,2.2,22.9
#CC000,Houston Rockets,54,28,Dwight Howard,Houston Rockets (54-28),25,71,71,2396,473,800,0.591,2,7,0.286,471,793,0.594,0.593,349,638,0.547,231,635,866,131,60,128,229,240,1297,2.9,7.8,10.7,1.6,0.7,1.6,2.8,3,16
#CC000,Houston Rockets,54,28,Chandler Parsons,Houston Rockets (54-28),25,74,74,2783,466,987,0.472,130,351,0.37,336,636,0.528,0.538,164,221,0.742,69,340,409,298,88,29,144,168,1226,0.9,4.2,5,3.7,1.1,0.4,1.8,2.1,15.1
#CC000,Houston Rockets,54,28,Terrence Jones,Houston Rockets (54-28),25,76,71,2078,386,712,0.542,31,101,0.307,355,611,0.581,0.564,118,195,0.605,162,366,528,87,53,99,71,139,921,2,4.5,6.5,1.1,0.7,1.2,0.9,1.7,11.4
#CC000,Houston Rockets,54,28,Jeremy Lin,Houston Rockets (54-28),25,71,33,2054,295,662,0.446,82,229,0.358,213,433,0.492,0.508,218,265,0.823,34,153,187,294,68,27,176,166,890,0.4,1.9,2.3,3.6,0.8,0.3,2.2,2,11
#CC000,Houston Rockets,54,28,Patrick Beverley,Houston Rockets (54-28),25,56,55,1751,199,481,0.414,92,255,0.361,107,226,0.473,0.509,83,102,0.814,72,124,196,151,77,23,66,174,573,0.9,1.5,2.4,1.9,1,0.3,0.8,2.1,7.1
#CC000,Houston Rockets,54,28,Omri Casspi,Houston Rockets (54-28),25,71,2,1283,173,410,0.422,61,176,0.347,112,234,0.479,0.496,83,122,0.68,55,205,260,88,44,14,72,100,490,0.7,2.5,3.2,1.1,0.5,0.2,0.9,1.2,6
#CC000,Houston Rockets,54,28,Donatas Motiejunas,Houston Rockets (54-28),25,62,3,952,131,296,0.443,21,84,0.25,110,212,0.519,0.478,58,96,0.604,60,165,225,34,20,21,49,132,341,0.7,2,2.8,0.4,0.2,0.3,0.6,1.6,4.2
#CC000,Houston Rockets,54,28,Francisco Garcia,Houston Rockets (54-28),25,55,4,1083,118,294,0.401,69,193,0.358,49,101,0.485,0.519,10,19,0.526,21,101,122,63,27,33,30,120,315,0.3,1.2,1.5,0.8,0.3,0.4,0.4,1.5,3.9
#CC000,Houston Rockets,54,28,Aaron Brooks,Houston Rockets (54-28),25,43,0,716,104,263,0.395,54,132,0.409,50,131,0.382,0.498,37,44,0.841,23,39,62,83,25,6,51,76,299,0.3,0.5,0.8,1,0.3,0.1,0.6,0.9,3.7
